alpha,beta,theta,delta,gamma,key
0.17749044056205787,0.12064531724664068,0.07064219526462324,0.11547393225657945,0.11880004539300053,0
0.18445459923528273,0.11807880064448943,0.07189158042026658,0.11667752313911708,0.11645941009433707,0
0.18524571120754618,0.12088296407057797,0.074064195974572,0.11114865380473823,0.11937264179786858,0
0.060536578896070815,0.03232618611911538,0.018453172135963022,0.04761673079516431,0.09904344967168549,0
0.02522266185897462,0.016156618296092065,0.012868544870099335,0.040974627505088665,0.0987142572491998,0
0.024069986826733294,0.01720595158168023,0.011773771607776002,0.04065850014058427,0.10017738655699177,0
0.024872834940693155,0.017377179049274237,0.012547567415762217,0.03901580858797527,0.10251273272692872,0
0.024589753321776733,0.01705849728902094,0.01249418737973048,0.04007928741393065,0.10186354233492866,0
0.024296972082646588,0.01673805604049357,0.012843820006084635,0.04183664028556857,0.10267968834227595,0
0.025061167202724895,0.01570020035629976,0.014329582038729551,0.04433036402015459,0.10282242913002249,0
0.026913494622546365,0.014927972874682848,0.013519899679425473,0.046474963962071444,0.10210450448262078,0
0.026852884113533225,0.016098483099592026,0.012233113575817087,0.04708930743883318,0.10203484011144949,0
0.02584972760139708,0.015772651391687743,0.012660654140109012,0.047435769597320106,0.10405390960618245,0
0.021657248397201345,0.014042023967313978,0.013248616311808604,0.04535573704296566,0.10103478044240952,0
0.021772013804617203,0.015183652451712083,0.011512383658986013,0.0464083445127624,0.10244861816943399,0
0.023066400718619942,0.015522570280955784,0.011435206576478112,0.04934308758203413,0.10507003029489823,0
0.023083650589367396,0.013245415299287293,0.011615482275143916,0.0473806776850611,0.10403062083919846,0
0.0233705739482552,0.01134625389988044,0.011150925080752732,0.050660838483171745,0.1012559360284861,0
0.024022375532244296,0.011941557333592201,0.01181287110666752,0.04981050851401613,0.09786646581243724,0
0.021679045610186846,0.011124541980038333,0.011484737802131224,0.04798525274633551,0.09301519678228017,0
0.022856885173529424,0.011922044483123319,0.011742124081935073,0.04651783437209857,0.08456628692524726,0
0.02278277054683166,0.011675358024797317,0.01155671925116926,0.047775812171789826,0.0845074751048579,0
0.022110152587257143,0.012525078773092203,0.01190655464850115,0.0467797681666723,0.08211412717261589,0
0.02169975519071422,0.010328141541809246,0.012069368246718474,0.047741634982051355,0.07880651546767185,0
0.021420394585719565,0.010486700549114313,0.011322783172541873,0.0461144031467418,0.07759307991459233,0
0.020977527912359958,0.01194016150622162,0.011906516309949359,0.04602025440612465,0.07703590978227516,0
0.020387724395923453,0.010958335237730751,0.011827495160538356,0.046531367415657145,0.07493351820587155,0
0.019595213467762176,0.01076499864406794,0.01145918843924321,0.04501576363461723,0.07201789092991429,0
0.020095877808848896,0.011035780584242831,0.011190425921831795,0.04551982711504444,0.06913881801155944,0
0.01941284460151436,0.010736801249621572,0.011464589267444016,0.04605607383636633,0.06739129731419499,0
0.019627297148796366,0.010959252141264392,0.011873474937894658,0.04487348247006982,0.06496688196175203,0
0.018232734151022098,0.011146444883062597,0.0116957923904706,0.043062470179120786,0.06168346726125827,0
0.01747895125101506,0.011530194409979062,0.011823543373516453,0.04356130308077957,0.0596733895151481,0
0.018400718594895237,0.011367324944399832,0.011591733047642432,0.03888858311876369,0.056578435097308616,0
0.01557985045975965,0.0116554164141659,0.010907248568179399,0.0347055844491616,0.05348534846788335,0
0.014842966695875438,0.011027978708014245,0.010511706801229556,0.03437707552913449,0.05346505194694733,0
0.015398675526880578,0.010242087794368193,0.009948844754997339,0.03385634855757999,0.05283449003680014,0
0.014579033240479955,0.011264197706882723,0.009552627014357006,0.033526169818695675,0.05276443972320226,0
0.01392294276852582,0.011130154188610877,0.009791529929559504,0.032134090075145165,0.05260086437289289,0
0.011315427976341679,0.010497603553600693,0.009803926266702644,0.02963505992056872,0.04431204734300403,0
,,,,,
